Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Relative error [-]
0.011927,0.0,1.0
0.012538500000000001,0.0,1.0
0.0131815,0.0,1.0
0.013857000000000001,0.0,1.0
0.0145675,0.0,1.0
0.0153145,0.0,1.0
0.0160995,0.0,1.0
0.016925,0.0,1.0
0.017793,0.0,1.0
0.0187055,0.0,1.0
0.0196645,0.0,1.0
0.0206725,0.0,1.0
0.021732,0.0,1.0
0.0228465,0.0,1.0
0.024018,0.0,1.0
0.025249,0.0,1.0
0.026543499999999998,0.0,1.0
0.0279045,0.0,1.0
0.0293355,7.1909e-08,0.6186
0.0308395,-9.3088e-07,0.41153
0.0324205,-4.0883e-07,1.8336
0.034083,-2.32e-07,2.8113
0.0358305,4.4855e-07,1.2917
0.0376675,-6.5637e-07,0.815
0.039598999999999995,7.9949e-07,0.59057
0.0416295,2.6571e-07,1.5994
0.0437635,8.2451e-07,0.48042
0.046007,7.3746e-07,0.50038
0.048366,7.4817e-07,0.45402
0.050846,7.5337e-07,0.41778
0.053453,9.6344e-07,0.29037
0.0561935,8.5058e-07,0.28474
0.0590745,1.0797e-06,0.1924
0.062103500000000006,1.2264e-06,0.15332
0.0652875,1.191e-06,0.14282
0.0686345,8.8011e-07,0.17555
0.0721535,1.063e-06,0.13135
0.075853,9.0701e-07,0.14528
0.07974200000000001,9.3252e-07,0.12719
0.0838305,9.6928e-07,0.11971
0.088129,1.0136e-06,0.1056
0.0926475,1.0749e-06,0.096813
0.0973975,9.902e-07,0.098769
0.10239100000000001,9.948e-07,0.094587
0.10764,8.8715e-07,0.10229
0.11316,1.0455e-06,0.083129
0.11896,1.085e-06,0.077113
0.12506,1.2176e-06,0.065949
0.131475,1.2175e-06,0.06415
0.13821499999999998,1.1789e-06,0.065217
0.14529999999999998,1.0273e-06,0.071763
0.15275,1.0717e-06,0.066422
0.16058,1.1414e-06,0.062616
0.16881,1.3154e-06,0.051568
0.17747,1.2981e-06,0.051175
0.18657,1.2589e-06,0.052453
0.196135,1.4241e-06,0.045435
0.20618999999999998,1.4068e-06,0.046352
0.21676,1.4077e-06,0.047817
0.227875,1.47e-06,0.04433
0.23956,1.5242e-06,0.043458
0.251845,1.5393e-06,0.042982
0.26475499999999996,1.5366e-06,0.04253
0.278325,1.6002e-06,0.042353
0.292595,1.665e-06,0.040581
0.3076,1.8558e-06,0.036406
0.32337000000000005,1.5635e-06,0.042569
0.33995,1.7588e-06,0.038657
0.35738000000000003,1.8594e-06,0.037508
0.37570000000000003,1.7416e-06,0.039623
0.394965,1.9292e-06,0.0365
0.415215,1.8725e-06,0.035964
0.43650500000000003,1.7078e-06,0.040909
0.458885,1.7074e-06,0.040528
0.48241,1.7929e-06,0.03922
0.507145,1.8772e-06,0.037825
0.533145,1.784e-06,0.039279
0.56048,1.7595e-06,0.039786
0.58922,1.4395e-06,0.047445
0.6194299999999999,1.2811e-06,0.051925
0.6511899999999999,1.6193e-06,0.044506
0.68458,1.7853e-06,0.040912
0.7196750000000001,2.1106e-06,0.036071
0.75657,2.0319e-06,0.03764
0.79536,1.8396e-06,0.040557
0.83614,1.7966e-06,0.04276
0.8790100000000001,1.9739e-06,0.03979
0.92408,2.1294e-06,0.036636
0.97146,2.1411e-06,0.037878
1.02127,2.2052e-06,0.037595
1.07365,2.1856e-06,0.038742
1.1287,2.3072e-06,0.037624
1.18655,2.3767e-06,0.036695
1.2473999999999998,2.4655e-06,0.035371
1.31135,2.4644e-06,0.036857
1.3785500000000002,2.5924e-06,0.036522
1.4492500000000001,2.6178e-06,0.037077
1.5235500000000002,2.6294e-06,0.03769
1.60165,2.6411e-06,0.038384
1.6838,2.7743e-06,0.037369
1.7701500000000001,2.903e-06,0.039094
1.8609,2.5335e-06,0.042614
1.9563,2.4036e-06,0.043149
2.0566,2.3752e-06,0.041606
2.16205,2.0129e-06,0.048011
2.2729,1.89e-06,0.050378
2.3894,1.5299e-06,0.058033
2.5119,1.5136e-06,0.057618
2.6407,1.1801e-06,0.06795
2.7761,1.1728e-06,0.066281
2.91845,8.9676e-07,0.087387
3.06805,1.1343e-06,0.069372
3.2253499999999997,1.0329e-06,0.083863
3.3907499999999997,1.18e-06,0.076315
3.5646,1.3357e-06,0.069444
3.74735,1.2937e-06,0.075128
3.93945,1.4379e-06,0.069276
4.14145,1.4972e-06,0.066026
4.3538,1.3377e-06,0.074704
4.577,1.3458e-06,0.071816
4.81165,1.4852e-06,0.062539
5.05835,1.5212e-06,0.061235
5.3177,1.4176e-06,0.062638
5.59035,1.6794e-06,0.053126
5.877000000000001,1.4494e-06,0.064703
6.1783,1.5556e-06,0.065309
6.49505,1.6854e-06,0.062731
6.8281,1.859e-06,0.058025
7.1782,1.9587e-06,0.060589
7.5462,1.944e-06,0.062652
7.9331,1.486e-06,0.08662
8.339849999999998,1.7328e-06,0.082119
8.76745,1.8928e-06,0.077596
9.21695,2.1882e-06,0.073704
9.689499999999999,2.3647e-06,0.074102
10.186350000000001,2.7625e-06,0.067889
10.7085,3.5425e-06,0.056953
11.2575,3.2874e-06,0.062318
11.835,2.551e-06,0.082134
12.442,2.9717e-06,0.067849
13.0795,3.4065e-06,0.060827
13.75,4.7117e-06,0.04295
14.455,4.2205e-06,0.042109
15.196000000000002,1.6915e-06,0.074824
15.9755,2.8471e-07,0.25034
16.7945,6.6925e-08,0.55096
17.6555,-1.8309e-08,1.649
18.561,-1.5858e-08,1.5951
19.5125,2.7935e-08,0.83071
20.464,-3.33e-09,7.7837
