Energy [MeV],Yield per lethargy [1/u],Relative error [-]
6.0,22.71,0.344
7.0,29.0,0.166
8.0,28.71,0.013999999999999999
9.0,27.5,0.037000000000000005
10.0,27.53,0.05
11.0,28.47,0.07200000000000001
12.0,29.32,0.081
13.0,29.64,0.052000000000000005
14.0,29.87,0.022000000000000002
15.0,30.4,0.067
16.0,31.12,0.032
17.0,31.92,0.073
18.0,32.98,0.131
19.0,34.46,0.115
20.0,36.25,0.055
21.0,38.28,0.019
22.0,40.64,0.065
23.0,43.16,0.109
24.0,45.27,0.141
25.0,46.42,0.149
26.0,46.61,0.122
27.0,46.36,0.073
28.0,46.3,0.036000000000000004
29.0,46.62,0.032
30.0,47.07,0.054000000000000006
31.0,47.13,0.08
32.0,46.27,0.09300000000000001
33.0,44.1,0.10300000000000001
34.0,40.79,0.124
35.0,39.4,0.122
36.0,51.27,0.062
37.0,90.34,0.16
38.0,148.7,0.11699999999999999
39.0,205.2,0.040999999999999995
40.0,241.6,0.037000000000000005
41.0,225.0,0.04
42.0,151.9,0.039
43.0,73.07,0.057
44.0,27.63,0.084
